Product URL,Landed Cost,Asket Price,Traditional Retail,Raw Material & Milling,Manufacturing,Trims & Packaging,Transport,Raw materials,Milling,Trims,Overall Traceability,Carbon Emissions,Water,Energy,Name
https://www.asket.com/se/mens/t-shirts/long-sleeve-t-shirt-off-white,169 SEK,600 SEK,1010 SEK,98 SEK,100%,8 SEK,6 SEK,100%,93%,83%,93% Overall traceability,9.02kg CO₂e,112.74m³,49.34kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-dark-navy,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/pique-polo-white,365 SEK,850 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Pique Polo
https://www.asket.com/se/mens/t-shirts/pique-polo-dark-navy,365 SEK,850 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Pique Polo
https://www.asket.com/se/mens/t-shirts/pique-polo-dark-olive,365 SEK,850 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Pique Polo
https://www.asket.com/se/mens/t-shirts/long-sleeve-pique-polo-black,288 SEK,950 SEK,1730 SEK,120 SEK,100%,29 SEK,4 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Long Sleeve Pique Polo
https://www.asket.com/se/mens/t-shirts/t-shirt-grey-melange,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/sweatshirts/sweatshirt-grey-melange,336 SEK,1050 SEK,2010 SEK,214 SEK,100%,8 SEK,9 SEK,100%,93%,50%,87% Overall traceability,16.18kg CO₂e,204.5m³,90.48kWh,The Sweatshirt
https://www.asket.com/se/mens/t-shirts/t-shirt-charcoal-melange,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-dark-navy,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/denim/washed-denim-jeans-stone-bleach,459 SEK,1450 SEK,2760 SEK,141 SEK,100%,28 SEK,11 SEK,100%,100%,58%,87% Overall traceability,23.74kg CO₂e,114.28m³,80.5kWh,The Washed Denim Jeans
https://www.asket.com/se/mens/t-shirts/long-sleeve-pique-polo-dark-navy,288 SEK,950 SEK,1730 SEK,120 SEK,100%,29 SEK,4 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Long Sleeve Pique Polo
https://www.asket.com/se/mens/t-shirts/long-sleeve-pique-polo-grey-melange,288 SEK,950 SEK,1730 SEK,120 SEK,100%,29 SEK,4 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Long Sleeve Pique Polo
https://www.asket.com/se/mens/t-shirts/t-shirt-off-white,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/long-sleeve-pique-polo-khaki-green,288 SEK,950 SEK,1730 SEK,120 SEK,100%,29 SEK,4 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Long Sleeve Pique Polo
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-black,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-taupe,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/long-sleeve-t-shirt-grey-melange,169 SEK,600 SEK,1010 SEK,98 SEK,100%,8 SEK,6 SEK,100%,93%,83%,93% Overall traceability,9.02kg CO₂e,112.74m³,49.34kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/mens/t-shirts/long-sleeve-t-shirt-black,169 SEK,600 SEK,1010 SEK,98 SEK,100%,8 SEK,6 SEK,100%,93%,83%,93% Overall traceability,9.02kg CO₂e,112.74m³,49.34kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/mens/t-shirts/pique-polo-black,365 SEK,850 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Pique Polo
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-cold-blue,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-grey-melange,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-black,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-burgundy,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/long-sleeve-t-shirt-white,169 SEK,600 SEK,1010 SEK,98 SEK,100%,8 SEK,6 SEK,100%,93%,83%,93% Overall traceability,9.02kg CO₂e,112.74m³,49.34kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-dusty-green,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-white,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-white,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-off-white,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/pique-polo-grey-melange,365 SEK,850 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,91%,70%,85% Overall traceability,10.91kg CO₂e,38.12m³,58.54kWh,The Pique Polo
https://www.asket.com/se/mens/underwear/merino-sock-3-pack-light-browndark-greenburgundy,163 SEK,500 SEK,980 SEK,94 SEK,100%,10 SEK,5 SEK,50%,91%,,81% Overall traceability,12.39kg CO₂e,1.92m³,43.31kWh,The Merino Sock 3-Pack
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-cold-green,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/t-shirts/long-sleeve-t-shirt-dark-navy,169 SEK,600 SEK,1010 SEK,98 SEK,100%,8 SEK,6 SEK,100%,93%,83%,93% Overall traceability,9.02kg CO₂e,112.74m³,49.34kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/mens/shirts/oxford-shirt-blue,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/shirts/wool-overshirt-dark-navy,546 SEK,1850 SEK,3270 SEK,324 SEK,100%,26 SEK,11 SEK,100%,100%,60%,86% Overall traceability,32.79kg CO₂e,69.76m³,85.54kWh,The Wool Overshirt
https://www.asket.com/se/mens/shirts/linen-shirt-light-blue,378 SEK,1450 SEK,2270 SEK,151 SEK,100%,22 SEK,11 SEK,100%,100%,66%,82% Overall traceability,15.1kg CO₂e,14.1m³,49.58kWh,The Linen Shirt
https://www.asket.com/se/mens/shirts/overshirt-beige,509 SEK,1650 SEK,3060 SEK,302 SEK,100%,17 SEK,11 SEK,100%,89%,88%,92% Overall traceability,29.33kg CO₂e,83.33m³,100.54kWh,The Overshirt
https://www.asket.com/se/mens/shirts/wool-overshirt-charcoal-melange,546 SEK,1850 SEK,3270 SEK,324 SEK,100%,26 SEK,11 SEK,100%,100%,60%,86% Overall traceability,32.79kg CO₂e,69.76m³,85.54kWh,The Wool Overshirt
https://www.asket.com/se/mens/t-shirts/t-shirt-grey-melange,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/sweatshirts/sweatshirt-grey-melange,336 SEK,1050 SEK,2010 SEK,214 SEK,100%,8 SEK,9 SEK,100%,93%,50%,87% Overall traceability,16.18kg CO₂e,204.5m³,90.48kWh,The Sweatshirt
https://www.asket.com/se/mens/t-shirts/t-shirt-charcoal-melange,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-dark-navy,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/denim/washed-denim-jeans-stone-bleach,459 SEK,1450 SEK,2760 SEK,141 SEK,100%,28 SEK,11 SEK,100%,100%,58%,87% Overall traceability,23.74kg CO₂e,114.28m³,80.5kWh,The Washed Denim Jeans
https://www.asket.com/se/mens/shirts/oxford-shirt-dark-navy,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/shirts/linen-shirt-white,378 SEK,1450 SEK,2270 SEK,151 SEK,100%,22 SEK,11 SEK,100%,100%,66%,82% Overall traceability,15.1kg CO₂e,14.1m³,49.58kWh,The Linen Shirt
https://www.asket.com/se/mens/shirts/oxford-shirt-white,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-off-white,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/shirts/overshirt-black,509 SEK,1650 SEK,3060 SEK,302 SEK,100%,17 SEK,11 SEK,100%,89%,88%,92% Overall traceability,29.33kg CO₂e,83.33m³,100.54kWh,The Overshirt
https://www.asket.com/se/mens/shirts/poplin-shirt-light-blue,466 SEK,1600 SEK,2800 SEK,227 SEK,100%,11 SEK,33 SEK,100%,100%,66%,86% Overall traceability,19.86kg CO₂e,69.52m³,67.97kWh,The Poplin Shirt
https://www.asket.com/se/mens/shirts/linen-shirt-beige,378 SEK,1450 SEK,2270 SEK,151 SEK,100%,22 SEK,11 SEK,100%,100%,66%,82% Overall traceability,15.1kg CO₂e,14.1m³,49.58kWh,The Linen Shirt
https://www.asket.com/se/mens/shirts/linen-shirt-blue-stripe,378 SEK,1450 SEK,2270 SEK,151 SEK,100%,22 SEK,11 SEK,100%,100%,66%,82% Overall traceability,15.1kg CO₂e,14.1m³,49.58kWh,The Linen Shirt
https://www.asket.com/se/mens/shirts/denim-shirt-stone-wash,421 SEK,1450 SEK,2530 SEK,189 SEK,100%,22 SEK,11 SEK,33%,100%,66%,76% Overall traceability,18.16kg CO₂e,116.96m³,80.74kWh,The Denim Shirt
https://www.asket.com/se/mens/shirts/wool-overshirt-khaki-green,546 SEK,1850 SEK,3270 SEK,324 SEK,100%,26 SEK,11 SEK,100%,100%,60%,86% Overall traceability,32.79kg CO₂e,69.76m³,85.54kWh,The Wool Overshirt
https://www.asket.com/se/mens/shirts/oxford-shirt-light-grey,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/shirts/flannel-shirt-charcoal-melange,468 SEK,1400 SEK,2810 SEK,225 SEK,100%,21 SEK,11 SEK,100%,100%,60%,86% Overall traceability,14.84kg CO₂e,45.58m³,58.88kWh,The Flannel Shirt
https://www.asket.com/se/mens/shirts/linen-shirt-dark-navy,378 SEK,1450 SEK,2270 SEK,151 SEK,100%,22 SEK,11 SEK,100%,100%,66%,82% Overall traceability,15.1kg CO₂e,14.1m³,49.58kWh,The Linen Shirt
https://www.asket.com/se/mens/shirts/poplin-shirt-white,466 SEK,1600 SEK,2800 SEK,227 SEK,100%,11 SEK,33 SEK,100%,100%,66%,86% Overall traceability,19.86kg CO₂e,69.52m³,67.97kWh,The Poplin Shirt
https://www.asket.com/se/mens/shirts/flannel-shirt-grey-melange,468 SEK,1400 SEK,2810 SEK,225 SEK,100%,21 SEK,11 SEK,100%,100%,60%,86% Overall traceability,14.84kg CO₂e,45.58m³,58.88kWh,The Flannel Shirt
https://www.asket.com/se/mens/shirts/linen-shirt-olive,378 SEK,1450 SEK,2270 SEK,151 SEK,100%,22 SEK,11 SEK,100%,100%,66%,82% Overall traceability,15.1kg CO₂e,14.1m³,49.58kWh,The Linen Shirt
https://www.asket.com/se/mens/shirts/overshirt-taupe,509 SEK,1650 SEK,3060 SEK,302 SEK,100%,17 SEK,11 SEK,100%,89%,88%,92% Overall traceability,29.33kg CO₂e,83.33m³,100.54kWh,The Overshirt
https://www.asket.com/se/mens/shirts/denim-shirt-stone-bleach,421 SEK,1450 SEK,2530 SEK,189 SEK,100%,22 SEK,11 SEK,33%,100%,66%,76% Overall traceability,18.16kg CO₂e,116.96m³,80.74kWh,The Denim Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-black,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/shirts/overshirt-dark-navy,509 SEK,1650 SEK,3060 SEK,302 SEK,100%,17 SEK,11 SEK,100%,89%,88%,92% Overall traceability,29.33kg CO₂e,83.33m³,100.54kWh,The Overshirt
https://www.asket.com/se/mens/shirts/flannel-shirt-dark-navy,468 SEK,1400 SEK,2810 SEK,225 SEK,100%,21 SEK,11 SEK,100%,100%,60%,86% Overall traceability,14.84kg CO₂e,45.58m³,58.88kWh,The Flannel Shirt
https://www.asket.com/se/mens/t-shirts/t-shirt-white,135 SEK,450 SEK,810 SEK,54 SEK,100%,14 SEK,3 SEK,100%,93%,83%,93% Overall traceability,11.39kg CO₂e,53.68m³,65.42kWh,The T-Shirt
https://www.asket.com/se/mens/shirts/overshirt-khaki-green,509 SEK,1650 SEK,3060 SEK,302 SEK,100%,17 SEK,11 SEK,100%,89%,88%,92% Overall traceability,29.33kg CO₂e,83.33m³,100.54kWh,The Overshirt
https://www.asket.com/se/mens/t-shirts/lightweight-t-shirt-white,130 SEK,500 SEK,790 SEK,64 SEK,100%,8 SEK,3 SEK,33%,100%,83%,88% Overall traceability,9.77kg CO₂e,28.26m³,30.68kWh,The Lightweight T-Shirt
https://www.asket.com/se/mens/underwear/merino-sock-3-pack-light-browndark-greenburgundy,163 SEK,500 SEK,980 SEK,94 SEK,100%,10 SEK,5 SEK,50%,91%,,81% Overall traceability,12.39kg CO₂e,1.92m³,43.31kWh,The Merino Sock 3-Pack
https://www.asket.com/se/mens/shirts/overshirt-olive,509 SEK,1650 SEK,3060 SEK,302 SEK,100%,17 SEK,11 SEK,100%,89%,88%,92% Overall traceability,29.33kg CO₂e,83.33m³,100.54kWh,The Overshirt
https://www.asket.com/se/mens/shirts/oxford-shirt-light-grey-stripe,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/shirts/oxford-shirt-dark-green,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/shirts/flannel-shirt-khaki-green,468 SEK,1400 SEK,2810 SEK,225 SEK,100%,21 SEK,11 SEK,100%,100%,60%,86% Overall traceability,14.84kg CO₂e,45.58m³,58.88kWh,The Flannel Shirt
https://www.asket.com/se/mens/shirts/oxford-shirt-blue-stripe,365 SEK,1250 SEK,2190 SEK,133 SEK,100%,22 SEK,11 SEK,100%,83%,83%,88% Overall traceability,15.67kg CO₂e,63.26m³,71.3kWh,The Oxford Shirt
https://www.asket.com/se/mens/knitwear/heavy-wool-sweater-dark-navy,367 SEK,1350 SEK,2210 SEK,190 SEK,100%,10 SEK,13 SEK,,100%,,100% Overall traceability,9.37kg CO₂e,2.23m³,45.84kWh,The Heavy Wool Sweater
https://www.asket.com/se/mens/knitwear/heavy-wool-sweater-charcoal-melange,367 SEK,1350 SEK,2210 SEK,190 SEK,100%,10 SEK,13 SEK,,100%,,100% Overall traceability,9.37kg CO₂e,2.23m³,45.84kWh,The Heavy Wool Sweater
https://www.asket.com/se/mens/knitwear/merino-sweater-black,244 SEK,1000 SEK,1470 SEK,114 SEK,100%,10 SEK,11 SEK,100%,100%,33%,81% Overall traceability,22.42kg CO₂e,5.4m³,45.25kWh,The Merino Sweater
